symbol,symbol_ns,company_name,sector,industry,series,isin,source
MANKIND,MANKIND.NS,Mankind Pharma Ltd.,Healthcare,Healthcare,EQ,INE634S01028,nse_nifty500
MARICO,MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ,INE196A01026,nse_nifty500
MARUTI,MARUTI.NS,Maruti Suzuki India Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE585B01010,nse_nifty500
MFSL,MFSL.NS,Max Financial Services Ltd.,Financial Services,Financial Services,EQ,INE180A01020,nse_nifty500
MAXHEALTH,MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare,Healthcare,EQ,INE027H01010,nse_nifty500
MAZDOCK,MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,Capital Goods,EQ,INE249Z01020,nse_nifty500
MEESHO,MEESHO.NS,Meesho Ltd.,Consumer Services,Consumer Services,EQ,INE0VDM01015,nse_nifty500
MINDACORP,MINDACORP.NS,Minda Corporation Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE842C01021,nse_nifty500
MSUMI,MSUMI.NS,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE0FS801015,nse_nifty500
MOTILALOFS,MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,Financial Services,Financial Services,EQ,INE338I01027,nse_nifty500
MPHASIS,MPHASIS.NS,MphasiS Ltd.,Information Technology,Information Technology,EQ,INE356A01018,nse_nifty500
MCX,MCX.NS,Multi Commodity Exchange of India Ltd.,Financial Services,Financial Services,EQ,INE745G01043,nse_nifty500
MUTHOOTFIN,MUTHOOTFIN.NS,Muthoot Finance Ltd.,Financial Services,Financial Services,EQ,INE414G01012,nse_nifty500
NATCOPHARM,NATCOPHARM.NS,NATCO Pharma Ltd.,Healthcare,Healthcare,EQ,INE987B01026,nse_nifty500
NBCC,NBCC.NS,NBCC (India) Ltd.,Construction,Construction,EQ,INE095N01031,nse_nifty500
NCC,NCC.NS,NCC Ltd.,Construction,Construction,EQ,INE868B01028,nse_nifty500
NHPC,NHPC.NS,NHPC Ltd.,Power,Power,EQ,INE848E01016,nse_nifty500
NLCINDIA,NLCINDIA.NS,NLC India Ltd.,Power,Power,EQ,INE589A01014,nse_nifty500
NMDC,NMDC.NS,NMDC Ltd.,Metals & Mining,Metals & Mining,EQ,INE584A01023,nse_nifty500
NSLNISP,NSLNISP.NS,NMDC Steel Ltd.,Metals & Mining,Metals & Mining,EQ,INE0NNS01018,nse_nifty500
NTPCGREEN,NTPCGREEN.NS,NTPC Green Energy Ltd.,Power,Power,EQ,INE0ONG01011,nse_nifty500
NTPC,NTPC.NS,NTPC Ltd.,Power,Power,EQ,INE733E01010,nse_nifty500
NH,NH.NS,Narayana Hrudayalaya Ltd.,Healthcare,Healthcare,EQ,INE410P01011,nse_nifty500
NATIONALUM,NATIONALUM.NS,National Aluminium Co. Ltd.,Metals & Mining,Metals & Mining,EQ,INE139A01034,nse_nifty500
NAVA,NAVA.NS,Nava Ltd.,Power,Power,EQ,INE725A01030,nse_nifty500
NAVINFLUOR,NAVINFLUOR.NS,Navin Fluorine International Ltd.,Chemicals,Chemicals,EQ,INE048G01026,nse_nifty500
NESTLEIND,NESTLEIND.NS,Nestle India Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ,INE239A01024,nse_nifty500
NETWEB,NETWEB.NS,Netweb Technologies India Ltd.,Information Technology,Information Technology,EQ,INE0NT901020,nse_nifty500
NEULANDLAB,NEULANDLAB.NS,Neuland Laboratories Ltd.,Healthcare,Healthcare,EQ,INE794A01010,nse_nifty500
NEWGEN,NEWGEN.NS,Newgen Software Technologies Ltd.,Information Technology,Information Technology,EQ,INE619B01017,nse_nifty500
NAM-INDIA,NAM-INDIA.NS,Nippon Life India Asset Management Ltd.,Financial Services,Financial Services,EQ,INE298J01013,nse_nifty500
NIVABUPA,NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,Financial Services,Financial Services,EQ,INE995S01015,nse_nifty500
NUVAMA,NUVAMA.NS,Nuvama Wealth Management Ltd.,Financial Services,Financial Services,EQ,INE531F01023,nse_nifty500
NUVOCO,NUVOCO.NS,Nuvoco Vistas Corporation Ltd.,Construction Materials,Construction Materials,EQ,INE118D01016,nse_nifty500
OBEROIRLTY,OBEROIRLTY.NS,Oberoi Realty Ltd.,Realty,Realty,EQ,INE093I01010,nse_nifty500
ONGC,ONGC.NS,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ,INE213A01029,nse_nifty500
OIL,OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ,INE274J01014,nse_nifty500
OLAELEC,OLAELEC.NS,Ola Electric Mobility Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE0LXG01040,nse_nifty500
OLECTRA,OLECTRA.NS,Olectra Greentech Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE260D01016,nse_nifty500
PAYTM,PAYTM.NS,One 97 Communications Ltd.,Financial Services,Financial Services,EQ,INE982J01020,nse_nifty500
ONESOURCE,ONESOURCE.NS,Onesource Specialty Pharma Ltd.,Healthcare,Healthcare,EQ,INE013P01021,nse_nifty500
OFSS,OFSS.NS,Oracle Financial Services Software Ltd.,Information Technology,Information Technology,EQ,INE881D01027,nse_nifty500
POLICYBZR,POLICYBZR.NS,PB Fintech Ltd.,Financial Services,Financial Services,EQ,INE417T01026,nse_nifty500
PCBL,PCBL.NS,PCBL Chemical Ltd.,Chemicals,Chemicals,EQ,INE602A01031,nse_nifty500
PGEL,PGEL.NS,PG Electroplast Ltd.,Consumer Durables,Consumer Durables,EQ,INE457L01029,nse_nifty500
PIIND,PIIND.NS,PI Industries Ltd.,Chemicals,Chemicals,EQ,INE603J01030,nse_nifty500
PNBHOUSING,PNBHOUSING.NS,PNB Housing Finance Ltd.,Financial Services,Financial Services,EQ,INE572E01012,nse_nifty500
PTCIL,PTCIL.NS,PTC Industries Ltd.,Capital Goods,Capital Goods,EQ,INE596F01018,nse_nifty500
PVRINOX,PVRINOX.NS,PVR INOX Ltd.,Media Entertainment & Publication,Media Entertainment & Publication,EQ,INE191H01014,nse_nifty500
PAGEIND,PAGEIND.NS,Page Industries Ltd.,Textiles,Textiles,EQ,INE761H01022,nse_nifty500
PARADEEP,PARADEEP.NS,Paradeep Phosphates Ltd.,Chemicals,Chemicals,EQ,INE088F01024,nse_nifty500
PATANJALI,PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ,INE619A01035,nse_nifty500
PERSISTENT,PERSISTENT.NS,Persistent Systems Ltd.,Information Technology,Information Technology,EQ,INE262H01021,nse_nifty500
PETRONET,PETRONET.NS,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ,INE347G01014,nse_nifty500
PFIZER,PFIZER.NS,Pfizer Ltd.,Healthcare,Healthcare,EQ,INE182A01018,nse_nifty500
PHOENIXLTD,PHOENIXLTD.NS,Phoenix Mills Ltd.,Realty,Realty,EQ,INE211B01039,nse_nifty500
PWL,PWL.NS,Physicswallah Ltd.,Consumer Services,Consumer Services,EQ,INE0LP301011,nse_nifty500
PIDILITIND,PIDILITIND.NS,Pidilite Industries Ltd.,Chemicals,Chemicals,EQ,INE318A01026,nse_nifty500
PINELABS,PINELABS.NS,Pine Labs Ltd.,Financial Services,Financial Services,EQ,INE15B701018,nse_nifty500
PIRAMALFIN,PIRAMALFIN.NS,Piramal Finance Ltd.,Financial Services,Financial Services,EQ,INE202B01038,nse_nifty500
PPLPHARMA,PPLPHARMA.NS,Piramal Pharma Ltd.,Healthcare,Healthcare,EQ,INE0DK501011,nse_nifty500
POLYMED,POLYMED.NS,Poly Medicure Ltd.,Healthcare,Healthcare,EQ,INE205C01021,nse_nifty500
POLYCAB,POLYCAB.NS,Polycab India Ltd.,Capital Goods,Capital Goods,EQ,INE455K01017,nse_nifty500
POONAWALLA,POONAWALLA.NS,Poonawalla Fincorp Ltd.,Financial Services,Financial Services,EQ,INE511C01022,nse_nifty500
PFC,PFC.NS,Power Finance Corporation Ltd.,Financial Services,Financial Services,EQ,INE134E01011,nse_nifty500
